trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",30,20,-78.37464477128995,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,0,-59.8670550144163,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,14,-2.05640244598605,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,0,-76.36276463624381,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",30,0,-48.17520915962245,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-53.01550872316376,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",35,0,-177.14160095690664,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 3}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-39.17658168317789,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-150.2685638358328,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,0,-31.75153817437275,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-68.69155793830203,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",30,4,-36.488881736904716,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",30,0,-161.72049738903328,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 4}",0
